day,month,year,obs,ACCESS1,CCSM4,CNRM,MPI-REMo,MPI,SMHI
16,2,1976,4,0,0.791532457,0,1.70E-08,0.003961517,0
17,2,1976,0,0,1.055690885,0,0.062391549,0.015787011,0
18,2,1976,0,0,0.307460845,1.193987966,6.899509323,0.196137726,1.153564453
19,2,1976,0,0,2.195834875,1.701920629,0.009938817,0.120690376,0
20,2,1976,0,0,0.963580132,0,0.000813545,1.524806023,0
21,2,1976,0,0,0.619970143,0,0.00056895,0.36431548,0
22,2,1976,0,0,0,0,2.43E-13,0.024920624,0
23,2,1976,0,0,0,0,2.60E-13,0.436024755,0
24,2,1976,0,0,0,0.008754721,2.46E-13,0.454223394,0
25,2,1976,0,0,0,1.234728336,5.99E-11,0,0
26,2,1976,0,0,0,2.198537588,2.71E-12,0,0
27,2,1976,0,0,0,0.770398259,3.10E-12,0.030511471,0
28,2,1976,0,0,0,0.668500543,1.04E-07,0.085861176,0
29,2,1976,0,0,0.748880446,1.432284117,1.05E-11,0,0
1,3,1976,0,0.004430927,1.229914188,2.249614954,4.23E-08,0.069795147,0
2,3,1976,0,0,12.44001007,1.120617628,1.44E-07,0.166211665,0
3,3,1976,0,0,13.73076248,0,5.20E-08,0.846172392,0
4,3,1976,0,0,6.408771038,0,1.26E-07,0.036485497,0
5,3,1976,0,0.415396541,6.12533474,0,1.41E-09,0.051494766,0
6,3,1976,84,0.559997559,9.520019531,0,5.80E-09,0.307395399,0
7,3,1976,22,4.692174435,2.703643084,0.462605119,1.03E-09,0.00520858,0
8,3,1976,6,0,0.007506018,2.243282557,2.43E-11,0.073026791,0
9,3,1976,58,0.120450974,0,0.926960588,2.07E-07,1.053992987,0
10,3,1976,63,0.993379653,0,0.758295,4.62E-08,0.664498806,0
11,3,1976,0,3.371061325,0,0.50349766,3.72E-13,0.086039186,0
12,3,1976,0,1.2872473,0,0.627422094,1.41E-12,0,3.048706055
13,3,1976,0,1.136604428,0,0.227962106,2.29E-08,0,1.071166992
14,3,1976,0,0.550204277,0,0.662877262,1.43E-08,0,0.082397461
15,3,1976,0,1.69332087,0,0.541931808,1.62E-06,0.056907941,0.082397461
16,3,1976,0,10.12867641,0,0.627711892,1.60E-08,0,1.318359375
17,3,1976,0,0.316373259,0,0.171395391,2.46E-11,0,14.3371582
18,3,1976,0,0,0,0.676245689,3.17E-13,0,10.05249023
19,3,1976,0,0,0,0.849021912,1.58E-10,0.006324104,2.142333984
20,3,1976,0,0.457824558,0,1.625726104,2.62E-06,0,5.438232422
21,3,1976,0,0.025121078,0,0.301070273,1.42E-09,0,6.756591797
22,3,1976,0,0,0.210180625,0.05597432,1.67E-10,0,2.059936523
23,3,1976,33,0,0.043135662,0.841257036,1.04E-06,0,2.389526367
24,3,1976,0,1.055463314,0,0.09804669,2.09E-07,0,3.790283203
25,3,1976,6,0,0,3.279360771,6.50E-07,0,0.185394287
26,3,1976,0,0,1.002288342,0.073435791,1.07E-10,0,0.947570801
27,3,1976,0,0,1.806169868,0.012797674,1.40E-08,0,0.164794922
28,3,1976,51,0,4.203295708,2.757997036,8.97E-11,0,0
29,3,1976,0,0,1.950304985,4.065127373,1.80E-08,0,0
